Date,Open,High,Low,Close,Adj Close,Volume
2019-09-05,37.500000,37.790001,36.650002,36.700001,36.445435,7157900
2019-09-06,36.980000,37.060001,35.849998,36.000000,35.750290,7881600
2019-09-09,36.090000,36.160000,33.509998,34.200001,33.962772,14356800
2019-09-10,33.000000,33.310001,31.629999,32.500000,32.274563,24012600
2019-09-11,33.700001,34.650002,33.150002,34.599998,34.359997,16414500
2019-09-12,35.000000,35.389999,33.880001,35.000000,34.757221,12629300
2019-09-13,35.220001,35.270000,34.049999,34.099998,33.863464,7778800
2019-09-16,33.799999,34.869999,32.770000,34.869999,34.628124,10675200
2019-09-17,34.139999,35.180000,33.830002,34.849998,34.608261,10363900
2019-09-18,34.500000,35.200001,34.450001,35.060001,34.816811,6393800
2019-09-19,35.400002,36.349998,35.400002,35.810001,35.561611,11576000
2019-09-20,35.939999,36.560001,35.450001,36.560001,36.306408,10679600
2019-09-23,36.580002,36.580002,35.740002,35.990002,35.740364,6168400
2019-09-24,36.099998,37.000000,35.970001,36.770000,36.514950,9428700
2019-09-25,36.549999,36.869999,35.750000,36.720001,36.465298,5665200
2019-09-26,36.810001,37.270000,36.509998,36.570000,36.316334,6935100
2019-09-27,36.560001,36.840000,36.150002,36.799999,36.544739,4086600
2019-09-30,36.750000,37.220001,36.540001,37.040001,36.783077,5172100
2019-10-01,37.150002,37.450001,36.709999,37.450001,37.190235,6463700
2019-10-02,37.150002,37.290001,36.270000,36.500000,36.246822,8871700
2019-10-03,36.560001,37.299999,36.049999,37.299999,37.041271,5797500
2019-10-04,37.400002,38.919998,37.299999,38.779999,38.511005,14940000
2019-10-07,38.599998,39.750000,38.160000,38.400002,38.133644,9909300
2019-10-08,38.639999,38.970001,37.860001,38.000000,37.808887,10663300
2019-10-09,38.299999,39.680000,38.279999,39.650002,39.450592,8973400
2019-10-10,39.700001,39.980000,38.799999,38.939999,38.744160,7602600
2019-10-11,39.480000,40.750000,39.360001,40.500000,40.296314,10985200
2019-10-14,40.000000,42.169998,39.900002,42.169998,41.957912,11031200
2019-10-15,42.200001,42.799999,41.230000,41.799999,41.589779,9588300
2019-10-16,41.610001,42.880001,40.970001,42.759998,42.544949,10302800
2019-10-17,42.700001,44.349998,42.599998,43.169998,42.952885,13354000
2019-10-18,43.439999,43.950001,42.349998,43.000000,42.783741,7146100
2019-10-21,43.349998,43.549999,42.419998,43.099998,42.883236,6180400
2019-10-22,43.189999,43.980000,43.169998,43.720001,43.500122,5996400
2019-10-23,43.590000,43.990002,42.919998,43.490002,43.271278,8091400
2019-10-24,43.490002,43.950001,43.160000,43.250000,43.032486,5986100
2019-10-25,43.380001,43.500000,42.000000,42.000000,41.788769,8152100
2019-10-28,42.200001,43.180000,42.049999,42.669998,42.455399,10587000
2019-10-29,43.180000,43.389999,40.630001,41.150002,40.943047,12482700
2019-10-30,42.860001,44.439999,42.250000,44.020000,43.798611,32093300
2019-10-31,43.349998,44.639999,42.570000,44.639999,44.415493,23982600
2019-11-01,44.950001,47.299999,44.910000,47.189999,46.952667,23109600
2019-11-04,48.139999,48.790001,44.770000,44.970001,44.743835,31343400
2019-11-05,45.320000,46.279999,43.520000,44.040001,43.818512,18187200
2019-11-06,44.500000,45.299999,43.490002,45.200001,44.972679,11794000
2019-11-07,45.610001,45.900002,44.160000,44.200001,43.977707,9778700
2019-11-08,43.509998,44.790001,42.950001,43.810001,43.589668,10639700
2019-11-11,43.500000,45.480000,43.240002,45.020000,44.793583,11163900
2019-11-12,45.200001,45.459999,43.070000,43.400002,43.181728,16359300
2019-11-13,42.860001,42.880001,41.700001,42.500000,42.286259,22822800
2019-11-14,42.700001,44.459999,42.570000,44.250000,44.027454,18068100
2019-11-18,45.000000,45.189999,43.770000,44.980000,44.753784,27655300
2019-11-19,44.980000,45.250000,43.529999,44.520000,44.296097,14932900
2019-11-21,44.889999,45.090000,44.250000,45.000000,44.773682,10712400
2019-11-22,44.700001,45.689999,44.560001,45.490002,45.261219,11996000
2019-11-25,45.500000,45.509998,44.299999,44.299999,44.077202,9077000
2019-11-26,44.200001,44.290001,42.509998,43.040001,42.823544,17986100
2019-11-27,43.450001,45.599998,43.200001,45.599998,45.370663,16283500
2019-11-28,45.330002,46.049999,44.830002,45.599998,45.370663,12047500
2019-11-29,45.799999,45.910000,45.029999,45.029999,44.803532,11377600
2019-12-02,45.450001,45.650002,44.520000,44.919998,44.694084,9853300
